Mfr	Part	Description	Unit	StandardPack	Price	List	BarCode	Mfr.Part.Unit
5SR	3300	PREMIUM SOLVENT GUN;CLEANER 6/CS	EA	6	6.25	8.93		5SR.3300.EA
5SR	3301	PREMIUM WATERBORNE GUN;CLEANER AEROSOL	EA	1	6.25	8.93		5SR.3301.EA
5SR	5071	*** YELLOW MASKING TAPE 3/4";48/CS	EA	48	1.10	1.53	872149005020	5SR.5071.EA
5SR	5073	*** YELLOW MASKING TAPE 1.5";24/CS	EA	24	2.20	3.06	872149005037	5SR.5073.EA
5SR	5080	8" WAFFLE FOAM PAD BLACK;2/PK 5/STAR	EA	1	10.84	15.49		5SR.5080.EA
5SR	5081	8" WAFFLE FOAM PAD WHITE;2/PK 5/STAR	EA	1	10.00	14.29		5SR.5081.EA
5SR	5082	8" WAFFLE FOAM PAD BLUE;2/PK 5/STAR	EA	1	10.00	14.29	872149004573	5SR.5082.EA
5SR	5082-1	8" WAFFLE FOAM PAD BLUE;5/STAR	EA	1	5.00	7.15	872149004603	5SR.5082-1.EA
5SR	5083	WOOL LOOP PAD 7.5";5/STAR	EA	1	5.32	7.60	872149004580	5SR.5083.EA
5SR	5084	WOOL/SYN POLISH PAD 8";5/STAR	EA	1	6.80	9.72	872149004597	5SR.5084.EA
5SR	5086	3/PK ASSORTED WAFFLE PAD;5/STAR	EA	1	15.00	21.43	872149004610	5SR.5086.EA
5SR	5087	2/PK ASSORTED WAFFLE PAD;5/STAR	EA	1	10.31	14.72	872149004627	5SR.5087.EA
5SR	5088	3/PK ASSORTED WAFFLE PAD;5/STAR 12/CS	EA	12	24.07	34.38	872149004634	5SR.5088.EA
5SR	5089	LG BACKING PLATE;	EA	1	8.36	11.95	872149004641	5SR.5089.EA
5SR	5125-1	GLAMOUR HS CLEARCOAT 	GL	4	64.68	102.67	872149512511	5SR.5125-1.GL
5SR	5125-4	GLAMOUR HS CLEARCOAT QT;CS/12	EA	12	17.20	27.30	872149512528	5SR.5125-4.EA
5SR	5150-4	GLAMOUR CLEARCOAT ACTIVA;QUART CS/4	EA	4	37.20	59.05		5SR.5150-4.EA
5SR	5150-8	GLAMOUR CLEARCOAT ACTIVA;PINT CS/12	EA	12	16.67	26.46	872149515031	5SR.5150-8.EA
5SR	5165-1	XTREME FLAT FINISH CLEAR;4.4VOC 4/CS	GL	4	51.87	82.33		5SR.5165-1.GL
5SR	5165-4	XTREME FLAT FINISH CLEAR;4.4VOC 12/CS	QT	12	17.13	27.20		5SR.5165-4.QT
5SR	5170-1	XTREME FLAT FINISH CLEAR;2.1VOC 4/CS	GL	4	64.53	102.43		5SR.5170-1.GL
5SR	5172-1	XTREME SPEED KLEARCOAT;4.2VOC 4/CS	GL	4	48.27	76.61	872149517219	5SR.5172-1.GL
5SR	5172-4	XTREME SPEED KLEARCOAT;4.2VOC 12/CS	EA	12	16.27	25.82	872149517226	5SR.5172-4.EA
5SR	5180-1	XTREME KLEARCOAT;2.1VOC 4/CS 208/PL	GL	4	58.47	92.80	872149518018	5SR.5180-1.GL
5SR	5180-4	XTREME KLEARCOAT;2.1VOC 12/CS	QT	12	19.33	30.69	872149518025	5SR.5180-4.QT
5SR	5181-4	XTREME HARDENER-FAST;2.1VOC 4/CS	QT	4	26.07	41.38	872149518124	5SR.5181-4.QT
5SR	5181-16	XTREME HARDENER-FAST;2.1VOC	EA	1	9.20	14.60	872149518148	5SR.5181-16.EA
5SR	5182-4	XTREME HARDENER-MEDIUM;2.1VOC 4/CS	QT	4	26.07	41.38	872149518223	5SR.5182-4.QT
5SR	5182-16	XTREME HARDENER-MEDIUM;2.1VOC 12/CS	EA	12	9.40	14.92	872149518247	5SR.5182-16.EA
5SR	5183-4	XTREME HARDENER-SLOW;2.1VOC 4/CS	QT	4	26.07	41.38	872149518322	5SR.5183-4.QT
5SR	5185-1	XTREME KLEARCOAT;4.4VOC 4/CS 208/PL	GL	4	48.27	76.61		5SR.5185-1.GL
5SR	5185-4	XTREME KLEARCOAT;4.4VOC 12/CS	QT	12	16.27	25.82		5SR.5185-4.QT
5SR	5186-4	XTREME HARDENER-FAST;4.4VOC 4/CS	QT	4	26.40	41.90		5SR.5186-4.QT
5SR	5186-16	XTREME HARDENER-FAST;4.4VOC 12/CS	HP	12	9.47	15.03		5SR.5186-16.HP
5SR	5187-4	XTREME HARDENER-MEDIUM;4.4VOC 4/CS	QT	4	26.40	41.90		5SR.5187-4.QT
5SR	5187-16	XTREME HARDENER-MEDIUM;4.4VOC 12/CS	HP	12	9.47	15.03		5SR.5187-16.HP
5SR	5188-4	XTREME HARDENER-SLOW;4.4VOC 4/CS	QT	4	26.67	42.33	872149518827	5SR.5188-4.QT
5SR	5188-16	XTREME HARDENER-SLOW;4.4VOC 12/CS	HP	12	9.47	15.03		5SR.5188-16.HP
5SR	5400-1	PRIMER SURFACER GRAY GAL;4.58VOC A/L 4/C	GL	4	33.04	47.20		5SR.5400-1.GL
5SR	5400-4	PRIMER SURFACER GRAY QT;4.58VOC A/L 6/CS	QT	6	10.88	15.54	872149002036	5SR.5400-4.QT
5SR	5400C-1	2.1 VOC HI-SOLIDS GRAY;LACQUER PRIMER 4/	EA	4	37.13	58.94	872149040014	5SR.5400C-1.EA
5SR	5400C-4	HS GRAY LACQUER PRIMER;2.1 VOC 12/CS	EA	12	12.07	19.15		5SR.5400C-4.EA
5SR	5402-1	PRIMER SURFACER RED GAL;4.58VOC ACRL/LAC	GL	4	33.04	47.20	872149002807	5SR.5402-1.GL
5SR	5403-1	HOT ROD BLACK PRIMER;NAT'L RULE 4/CS	GL	4	36.27	57.57		5SR.5403-1.GL
5SR	5403-4	HOT ROD BLACK PRIMER;NAT'L RULE 12/CS	QT	12	12.00	19.05	872149540323	5SR.5403-4.QT
5SR	5410-1	FRAME BLACK GLOSS PAINT;4/CS	GL	4	31.80	50.48	872149541016	5SR.5410-1.GL
5SR	5414-1	DTM ETCH PRIMER GREEN GL;5.05VOC	GL	4	31.80	45.43	872149002005	5SR.5414-1.GL
5SR	5415-1	DTM ETCH PRIMER REDUCER;GL 6.48VOC	GL	4	20.28	28.97	872149002012	5SR.5415-1.GL
5SR	5423-1	XTREME DTM WHITE PRIMER;GL	GL	4	89.45	127.79		5SR.5423-1.GL
5SR	5423-4	XTREME DTM WHITE PRIMER;QT	QT	6	26.81	38.30		5SR.5423-4.QT
5SR	5424-1	XTREME DTM BLACK PRIMER;GL	GL	4	89.45	127.79		5SR.5424-1.GL
5SR	5424-4	XTREME DTM BLACK PRIMER;QT	QT	6	26.81	38.30		5SR.5424-4.QT
5SR	5425-1	XTREME DTM GRAY PRIMER;GL	GL	4	89.45	127.79		5SR.5425-1.GL
5SR	5425-4	XTREME DTM GRAY PRIMER;QT	QT	6	26.81	38.30		5SR.5425-4.QT
5SR	5426-4	XTREME DTM ACTIVATOR;QT 6/CS	QT	6	26.81	38.30	872149542624	5SR.5426-4.QT
5SR	5426-16	XTREME DTM ACTIVATOR;1/2PT	HP	1	11.25	16.08	872149542648	5SR.5426-16.HP
5SR	5451-1	MAXX FILL 2K PRIMER-GRAY;	GL	4	42.47	60.67	872149545113	5SR.5451-1.GL
5SR	5451-4	MAXX FILL 2K PRIMER-GRAY;	QT	6	14.49	20.70	872149545120	5SR.5451-4.QT
5SR	5453-1	MAXX FILL 2K PRIMER-BUFF;	GL	4	42.47	60.67	872149545311	5SR.5453-1.GL
5SR	5453-4	MAXX FILL 2K PRIMER-BUFF;	QT	6	14.49	20.70	872149545328	5SR.5453-4.QT
5SR	5457-4	MAXX FILL ACTIVATOR;6/CS	QT	6	20.35	29.07	872149545724	5SR.5457-4.QT
5SR	5457-16	MAXX FILL ACTIVATOR;	HP	1	9.12	13.03	872149545748	5SR.5457-16.HP
5SR	5541	12FT PLASTIC SHEETING;12'x400' XTREME	CS	1	16.69	23.84	872149001473	5SR.5541.CS
5SR	5543	16FT PLASTIC SHEETING;16'x350' XTREME	CS	1	19.46	27.80	872149001480	5SR.5543.CS
5SR	5545	20FT PLASTIC SHEETING;20'x250' XTREME	CS	1	21.26	30.37	872149001497	5SR.5545.CS
5SR	5802	SCUFFING PASTE 32oz BOTT;12/CS	EA	12	17.82	27.40	872149004788	5SR.5802.EA
5SR	5803	SCUFFING PASTE TUB 3KG;6/CS	EA	6	29.23	44.95	872149004795	5SR.5803.EA
5SR	5915	5STAR SELF ETCHING GREEN;AEROSOL	CN	6	5.14	7.33		5SR.5915.CN
5SR	5929	GUIDE COAT	CN	12	3.24	4.63	872149592957	5SR.5929.CN
5SR	5930	5STAR GLOSS WHITE;ENAMEL /AEROSOL	EA	1	3.40	4.86		5SR.5930.EA
5SR	5933	5STAR SEMI GLOSS BLACK;ENAMEL /AEROSOL 1	EA	1	3.40	4.86	872149593350	5SR.5933.EA
5SR	5956	MP FLEXIBLE PRIMER GRAY;6/CS	EA	6	8.77	12.53		5SR.5956.EA
5SR	5957	MP FLEXIBLE PRIMER BLACK;6/CS	EA	6	8.77	12.53		5SR.5957.EA
5SR	5958	MP FLEXIBLE PRIMER WHITE;6/CS	EA	6	8.77	12.53		5SR.5958.EA
5SR	5981	DURO KOTE BLACK PAINTABLE UNDERCOATING	CN	12	5.84	9.27		5SR.5981.CN
5SR	50142-4	HP QF ACTIVATOR 2.1VOC;4/CS	EA	4	30.16	43.10		5SR.50142-4.EA
5SR	PR401-1	DTS GRAY EPOXY PRIMER;GAL 4/CS	GL	4	41.55	59.35		5SR.PR401-1.GL
5SR	PR405-4	DTS HARDENER 2.1VOC;6/CS	QT	6	17.81	25.45		5SR.PR405-4.QT
5SR	PR501-01	BASECOAT BLACK GAL;2/CS	GL	2	74.33	106.19	872149004399	5SR.PR501-01.GL
5SR	PR501-04	BASECOAT BLACK QT;6/CS	QT	6	20.29	28.99	872149004405	5SR.PR501-04.QT
5SR	PR502-01	BASECOAT WHITE GAL;2/CS	GL	2	74.33	106.19	872149004412	5SR.PR502-01.GL
5SR	PR502-04	BASECOAT WHITE QT;6/CS	QT	6	20.29	28.99	872149004429	5SR.PR502-04.QT
5SR	W-98	DISCONTINUED;PROTEK GUN 1.4MM	EA	1	0.00	0.00		5SR.W-98.EA
AAC	4004-04	4OZ. TRANSPARENT BASE;	EA	1	2.74	3.91	717893440041	AAC.4004-04.EA
AAC	4004-16	16OZ. TRANSPARENT BASE;	EA	1	12.53	17.90	717893640045	AAC.4004-16.EA
AAC	4007-04	discontinued;4OZ. CLEANER	EA	1	3.75	5.36		AAC.4007-04.EA
AAC	4012-04	HIGH PERFORMANCE REDUCER;4-OZ.	EA	1	4.50	6.43	717893440126	AAC.4012-04.EA
AAC	4012-16	HIGH PERFORMANCE REDUCER;16 OZ.	EA	1	12.10	17.29	717893640120	AAC.4012-16.EA
AAC	4030-04	4OZ INTERCOAT;	EA	1	6.30	9.00		AAC.4030-04.EA
AAC	4030-16	INTERCOAT CLEAR 16OZ;	EA	1	22.40	32.00	717893640304	AAC.4030-16.EA
AAC	4101-04	4OZ. ALUMINUM BASE;FINE	EA	1	6.48	9.26	717893441017	AAC.4101-04.EA
AAC	4102-04	4OZ. ALUMINUM BASE;MEDIUM	EA	1	6.48	9.26	717893441024	AAC.4102-04.EA
AAC	4201-04	4OZ. SEMI-OPAQUE BRITE;WHITE	EA	1	6.17	8.81	717893442014	AAC.4201-04.EA
AAC	4203-04	4OZ. SEMI-OPAQUE FLAME;YELLOW	EA	1	6.17	8.81	717893442038	AAC.4203-04.EA
AAC	4205-04	4OZ. SEMI-OPAQUE FLAME;ORANGE	EA	1	6.17	8.81	717893442052	AAC.4205-04.EA
AAC	4206-04	4OZ. SEMI-OPAQUE FLAME;RED	EA	1	6.17	8.81	717893442069	AAC.4206-04.EA
AAC	4208-04	4OZ. SEMI-OPAQUE EMERALD;GREEN	EA	1	6.17	8.81	717893442083	AAC.4208-04.EA
AAC	4213-04	4OZ. SEMI-OPAQUE;PROCESS BLUE	EA	1	6.17	8.81	717893442137	AAC.4213-04.EA
AAC	4216-04	4OZ. SEMI-OPAQUE DEEP;PURPLE	EA	1	6.17	8.81	717893442168	AAC.4216-04.EA
AAC	4217-04	4OZ. SEMI-OPAQUE LIGHT;BROWN	EA	1	6.17	8.81	717893442175	AAC.4217-04.EA
AAC	4220-04	4OZ. SEMI-OPAQUE DEEP;BLACK	EA	1	6.17	8.81	717893442205	AAC.4220-04.EA
AAC	4230-04	4OZ. TRANSPARENT WHITE;	EA	1	6.17	8.81	717893442304	AAC.4230-04.EA
AAC	4233-04	4OZ. TRANSPARENT ORANGE;	EA	1	6.17	8.81	717893442335	AAC.4233-04.EA
AAC	4234-04	4OZ. TRANSPARENT FIRE;RED	EA	1	6.17	8.81	717893442342	AAC.4234-04.EA
AAC	4235-04	4OZ. TRANSPARENT;TRAFFIC RED	EA	1	6.17	8.81	717893442359	AAC.4235-04.EA
AAC	4236-04	4OZ. TRANSPARENT CHERRY;RED	EA	1	6.17	8.81	717893442366	AAC.4236-04.EA
AAC	4237-04	4OZ. TRANSPARENT APPLE;GREEN	EA	1	6.17	8.81	717893442373	AAC.4237-04.EA
AAC	4238-04	4OZ. TRANSPARENT BRITE;GREEN	EA	1	6.17	8.81		AAC.4238-04.EA
AAC	4245-04	4OZ. TRANSPARENT MAGENTA;	EA	1	6.17	8.81		AAC.4245-04.EA
AAC	4249-04	4OZ. TRANSPARENT BLACK;	EA	1	6.17	8.81	717893442496	AAC.4249-04.EA
AAC	4257-04	TRANSPARENT JET BLACK;4 OZ.	EA	1	6.17	8.81		AAC.4257-04.EA
AAC	4262-04	4OZ. FLUORESCENT HOT;GREEN	EA	1	6.01	8.59	717893442625	AAC.4262-04.EA
AAC	4301-04	4OZ. PEARL WHITE;	EA	1	6.17	8.81	717893443011	AAC.4301-04.EA
AAC	4303-04	4OZ. PEARL GOLD;	EA	1	6.78	9.69	717893443035	AAC.4303-04.EA
AAC	4304-04	4OZ. PEARL LIME GREEN;	EA	1	6.78	9.69	717893443042	AAC.4304-04.EA
AAC	4306-04	4OZ. PEARL TEAL;	EA	1	6.78	9.69	717893443066	AAC.4306-04.EA
AAC	4308-04	4OZ. PEARL BLUE;	EA	1	6.78	9.69	717893443080	AAC.4308-04.EA
AAC	4314-04	4OZ. PEARL BLACK;	EA	1	6.78	9.69	717893443141	AAC.4314-04.EA
AAC	4330-04	4OZ. METALLIC WHITE;FINE	EA	1	6.78	9.69	717893443301	AAC.4330-04.EA
AAC	4332-04	4OZ. METALLIC SILVER;	EA	1	6.78	9.69	717893443325	AAC.4332-04.EA
AAC	4333-04	4OZ. METALLIC GOLD;	EA	1	6.78	9.69	717893443332	AAC.4333-04.EA
AAC	4337-04	4OZ. METALLIC BLUE;SILVER	EA	1	6.78	9.69	717893443370	AAC.4337-04.EA
AAC	4350-04	4OZ. IRIDESCENT BRITE;YELLOW	EA	1	7.37	10.53	717893443509	AAC.4350-04.EA
AAC	4355-04	4OZ. IRIDESCENT BRITE;BLUE	EA	1	7.37	10.53	717893443554	AAC.4355-04.EA
AAC	4356-04	4OZ. IRIDESCENT;ELECTRIC BLUE	EA	1	7.37	10.53	717893443561	AAC.4356-04.EA
AAC	4410-04	4OZ. FLAIR TINT BRONZE;	EA	1	24.24	33.84		AAC.4410-04.EA
AAC	4530-04	SPARKLESCENT MANGO II;	EA	1	13.90	19.86	717893445305	AAC.4530-04.EA
AAC	4534-04	SPARKLESCENT PORN STAR;PINK II	EA	1	13.90	19.86	717893445343	AAC.4534-04.EA
AAC	4660-04	CANDY20 POISON GREEN 4OZ;	EA	1	9.80	14.00	717893446609	AAC.4660-04.EA
AAC	4661-04	CANDY20 EMERALD GREEN;4OZ	EA	1	9.80	14.00	717893446616	AAC.4661-04.EA
AAC	4834-00	OLD SCHOOL FLAME STENCIL;(MEDIUM)	EA	1	26.71	38.16	717893048346	AAC.4834-00.EA
